epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.9465,2.21868,3.7737,1.92981,0.00288,0.22222,0.03115,0.00674,3.30661,4.22074,3.08747,0.089011,1.1e-05,1.1e-05
2,193.9,1.75742,2.07307,1.58004,0.97464,0.11111,0.16945,0.08759,2.5999,3.50788,2.08565,0.0770228,2.2816e-05,2.2816e-05
3,290.537,1.61339,1.56249,1.43553,0.42268,0.5952,0.45917,0.25808,1.92871,2.51786,1.86524,0.0650344,3.444e-05,3.444e-05
4,386.654,1.51374,1.50702,1.37548,0.66383,0.5,0.5881,0.32866,1.68384,2.46856,1.6242,0.0530459,4.5872e-05,4.5872e-05
5,482.725,1.52063,1.42742,1.34987,0.90026,0.42857,0.72162,0.48134,1.51305,1.63745,1.51548,0.0410571,5.7112e-05,5.7112e-05
6,579.788,1.45767,1.37322,1.33957,0.76792,0.5,0.83246,0.50532,1.65335,1.57964,1.57061,0.0290682,6.816e-05,6.816e-05
7,674.997,1.41981,1.28266,1.2674,0.80375,0.48313,0.56717,0.33235,1.54359,1.41016,1.54507,0.017079,7.9016e-05,7.9016e-05
8,771.288,1.35748,1.1649,1.26097,0.86915,0.46032,0.6146,0.31767,1.81659,1.39893,1.65506,0.00508968,8.968e-05,8.968e-05
9,867.088,1.36864,1.25731,1.31311,0.84577,0.5969,0.85377,0.53972,1.54459,1.25479,1.52499,9.36e-05,9.36e-05,9.36e-05
10,962.193,1.33566,1.16374,1.24333,0.83728,0.64286,0.78648,0.39934,1.69833,1.17299,1.59338,9.28e-05,9.28e-05,9.28e-05
11,1056.54,1.2799,1.08086,1.21402,0.71532,0.64286,0.8926,0.49171,1.54357,1.11011,1.5393,9.2e-05,9.2e-05,9.2e-05
12,1150.71,1.34558,1.0455,1.2684,0.81899,0.61905,0.89104,0.45182,1.62291,1.27668,1.56176,9.12e-05,9.12e-05,9.12e-05
13,1245.15,1.24661,0.99498,1.23907,0.67771,0.95238,0.90148,0.49363,1.61337,1.09448,1.48986,9.04e-05,9.04e-05,9.04e-05
14,1339.04,1.27126,1.02253,1.24471,0.68553,0.95238,0.90327,0.47134,1.64596,1.08269,1.57679,8.96e-05,8.96e-05,8.96e-05
15,1433.2,1.20527,0.91912,1.18826,0.81566,0.59524,0.84539,0.43578,1.69971,1.10428,1.68154,8.88e-05,8.88e-05,8.88e-05
16,1527.95,1.32275,0.96561,1.19708,0.84594,0.59524,0.87328,0.44156,1.68211,1.16849,1.69226,8.8e-05,8.8e-05,8.8e-05
17,1622.84,1.30173,0.94289,1.26081,0.84214,0.61905,0.87149,0.45255,1.52341,1.08266,1.49842,8.72e-05,8.72e-05,8.72e-05
18,1717.4,1.33198,0.98128,1.2397,0.8487,0.56666,0.85572,0.44043,1.49135,1.0995,1.45766,8.64e-05,8.64e-05,8.64e-05
19,1811.19,1.22759,0.89719,1.17931,0.87829,0.64286,0.91009,0.45152,1.63763,1.1031,1.61007,8.56e-05,8.56e-05,8.56e-05
20,1905.48,1.15948,0.83278,1.1382,0.84871,0.62884,0.88978,0.44596,1.63274,1.05923,1.67071,8.48e-05,8.48e-05,8.48e-05
21,1999.4,1.06255,0.80369,1.10123,0.83514,0.92812,0.87223,0.46958,1.60694,0.93936,1.64411,8.4e-05,8.4e-05,8.4e-05
22,2093.62,1.18985,0.82306,1.17436,0.70241,0.97619,0.9213,0.44336,1.65473,0.96872,1.72483,8.32e-05,8.32e-05,8.32e-05
23,2187.87,1.09689,0.8099,1.12685,0.8683,0.64286,0.9166,0.49053,1.60247,1.0919,1.68051,8.24e-05,8.24e-05,8.24e-05
24,2282.09,1.16012,0.77902,1.14298,0.65299,0.8226,0.85585,0.45851,1.57087,1.18629,1.59916,8.16e-05,8.16e-05,8.16e-05
25,2362.87,1.12674,0.78675,1.19336,0.80646,0.88842,0.86548,0.47143,1.61176,1.13069,1.54288,8.08e-05,8.08e-05,8.08e-05
26,2438.84,1.05247,0.78185,1.12481,0.78905,0.91637,0.86946,0.4721,1.60622,1.07208,1.51015,8e-05,8e-05,8e-05
27,2511.71,1.02167,0.73983,1.11259,0.7189,0.95238,0.85285,0.47441,1.60681,1.05245,1.49559,7.92e-05,7.92e-05,7.92e-05
