epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,616.27,2.03802,2.29241,1.54561,0.56111,0.54035,0.51608,0.24235,1.8739,1.51584,1.38018,0.00999368,0.00333123,0.00999368,0.00333123,0.00999368,0.00333123,0.00999368,0.00333123
2,1142.13,1.85945,1.50247,1.36594,0.63771,0.61258,0.62295,0.30338,1.8436,1.41848,1.36087,0.0199541,0.00665136,0.0199541,0.00665136,0.0199541,0.00665136,0.0199541,0.00665136
3,1645.93,1.94365,1.63537,1.41966,0.73964,0.46366,0.56764,0.279,1.97903,1.62108,1.45963,0.0298749,0.0099583,0.0298749,0.0099583,0.0298749,0.0099583,0.0298749,0.0099583
4,2142.12,1.96776,1.65754,1.45076,0.74009,0.49667,0.59974,0.29077,1.91978,1.51815,1.4134,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,2638.48,1.90401,1.54456,1.41606,0.61088,0.63,0.64551,0.31459,1.85502,1.42755,1.39365,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,3136.45,1.83246,1.4211,1.38235,0.66887,0.62054,0.66423,0.337,1.80107,1.33265,1.35554,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,3633.99,1.79894,1.34781,1.35997,0.68943,0.66268,0.70983,0.3564,1.76561,1.27187,1.35105,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,4129.75,1.76009,1.29083,1.34532,0.64184,0.69839,0.70164,0.35435,1.75468,1.24382,1.33079,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,4625.28,1.73178,1.24472,1.32539,0.68515,0.70498,0.7211,0.36419,1.75251,1.22011,1.3331,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,5126.63,1.69504,1.20551,1.30953,0.7435,0.708,0.744,0.39833,1.71163,1.18628,1.31683,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,5628.04,1.68062,1.17074,1.29847,0.7428,0.72447,0.74904,0.39296,1.69919,1.16072,1.30045,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,6129.83,1.66741,1.1461,1.29179,0.78675,0.73079,0.7713,0.39995,1.68833,1.12432,1.29767,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,6632.47,1.64245,1.11145,1.27351,0.7379,0.7339,0.75881,0.39742,1.66045,1.11572,1.28356,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
